NSDL Scheme Code,Scheme Name,Scheme Type,Scheme Category,TER Date,Regular Plan - Base TER (%),Regular Plan - Additional expense as per Regulation 52(6A)(b) (%),Regular Plan - Additional expense as per Regulation 52(6A)(c) (%),Regular Plan - GST (%),Regular Plan - Total TER (%),Direct Plan - Base TER (%),Direct Plan - Additional expense as per Regulation 52(6A)(b) (%),Direct Plan - Additional expense as per Regulation 52(6A)(c) (%),Direct Plan - GST (%),Direct Plan - Total TER (%)
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,01-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,02-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,03-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,04-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,05-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,06-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,07-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,08-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,09-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,10-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,11-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,12-Feb-2026,1.8500,0.0000,0.0500,0.0400,1.9400,0.3600,0.0000,0.0500,0.0400,0.4500
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,01-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,02-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,03-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,04-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,05-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,06-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,07-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,08-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,09-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,10-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,11-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,12-Feb-2026,0.4900,0.0000,0.0000,0.0300,0.5200,0.2400,0.0000,0.0000,0.0300,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,01-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,02-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,03-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,04-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,05-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,06-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,07-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,08-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,09-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,10-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,11-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Equity Scheme - ELSS,12-Feb-2026,0.5200,0.0000,0.0000,0.0000,0.5200,0.2700,0.0000,0.0000,0.0000,0.2700
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,01-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,02-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,03-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,04-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,05-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,06-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,07-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,08-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,09-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,10-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,11-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Scheme - Flexi Cap Fund,12-Feb-2026,1.8900,0.0000,0.0500,0.0500,1.9900,0.3800,0.0000,0.0500,0.0500,0.4800
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,01-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,02-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,03-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,04-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,05-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,06-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,07-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,08-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,09-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,10-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,11-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Scheme - Focused Fund,12-Feb-2026,1.6400,0.0000,0.0500,0.1000,1.7900,0.6500,0.0000,0.0500,0.1000,0.8000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,01-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,02-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,03-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,04-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,05-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,06-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,07-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,08-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,09-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,10-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,11-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/O /GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Other Scheme - Gold ETF,12-Feb-2026,0.4000,0.0000,0.0000,0.0300,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,01-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,02-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,03-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,04-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,05-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,06-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,07-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,08-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,09-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,10-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,11-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/D/LIF/13/05/0002,360 ONE LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,12-Feb-2026,0.3000,0.0000,0.0000,0.0200,0.3200,0.1800,0.0000,0.0000,0.0200,0.2000
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,01-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,02-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,03-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,04-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,05-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,06-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,07-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,08-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,09-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,10-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,11-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,12-Feb-2026,1.9000,0.0000,0.0500,0.0400,1.9900,0.3000,0.0000,0.0500,0.0400,0.3900
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,01-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,02-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,03-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,04-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,05-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,06-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,07-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,08-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,09-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,10-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,11-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Debt Scheme - Overnight Fund,12-Feb-2026,0.1500,0.0000,0.0000,0.0000,0.1500,0.0700,0.0000,0.0000,0.0000,0.0700
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,01-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,02-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,03-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,04-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,05-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,06-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,07-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,08-Feb-2026,1.9300,0.0000,0.0500,0.0800,2.0600,0.4900,0.0000,0.0500,0.0800,0.6200
